Name,Gender
Vivaan,Male
Aditya,Male
Vihaan,Male
Arjun,Male
Sai,Male
Reyansh,Male
Krishna,Male
Ishaan,Male
Shivansh,Male
Atharv,Male
Dhruv,Male
Rudra,Male
Rishi,Male
Aryan,Male
Kabir,Male
Anirudh,Male
Samarth,Male
Ansh,Male
Parth,Male
Ahmed,Male
Arman,Male
Bilal,Male
Faizan,Male
Hamza,Male
Imran,Male
Kamal,Male
Nadeem,Male
Rahman,Male
Zaid,Male
Amar,Male
Balraj,Male
Gurpreet,Male
Harbhajan,Male
Jasmeet,Male
Karanvir,Male
Maninder,Male
Navjot,Male
Ravinder,Male
Tejinder,Male
Aaron,Male
Brian,Male
Christopher,Male
Daniel,Male
Elijah,Male
Gabriel,Male
John,Male
Matthew,Male
Nathan,Male
Peter,Male
Samuel,Male
Thomas,Male
Victor,Male
William,Male
Abbas,Male
Abdul,Male
Abhay,Male
Abhijit,Male
Abhilash,Male
Abhinav,Male
Abhishek,Male
Adil,Male
Adnan,Male
Agni,Male
Ahmad,Male
Ajay,Male
Ajit,Male
Akash,Male
Akbar,Male
Akhil,Male
Akshay,Male
Ali,Male
Amandeep,Male
Amardeep,Male
Amarjeet,Male
Amin,Male
Amir,Male
Amit,Male
Amitabh,Male
Amrit,Male
Anand,Male
Anbu,Male
Anik,Male
Aniket,Male
Anil,Male
Aniruddha,Male
Anish,Male
Ankit,Male
Ankur,Male
Anuj,Male
Anup,Male
Anupam,Male
Apurva,Male
Aravind,Male
Arif,Male
Arijit,Male
Aritra,Male
Aruna,Male
Arya,Male
Asad,Male
Ashwin,Male
Asim,Male
Aswathi,Male
Avinash,Male
Azad,Male
Azhar,Male
Aziz,Male
Babur,Male
Bala,Male
Balakrishna,Male
Balwinder,Male
Chanda,Male
Chandan,Male
Chandra,Male
Chandrakant,Male
Chetan,Male
Chiranjvi,Male
Darshan,Male
Dayaram,Male
Dev,Male
Devadas,Male
Dhananjay,Male
Dharma,Male
Dhaval,Male
Durai,Male
Durga,Male
Eshil,Male
Farhan,Male
Farid,Male
Ghulam,Male
Govinda,Male
Gul,Male
Gurdeep,Male
Gurmeet,Male
Hardeep,Male
Hari,Male
Harsha,Male
Harshad,Male
Harshal,Male
Hasan,Male
Hassan,Male
Imtiyaz,Male
Inderpal,Male
Indra,Male
Indrajit,Male
Isha,Male
Jagit,Male
Jahangir,Male
Jaswinder,Male
Javed,Male
Jaya,Male
Jayanta,Male
Jayendra,Male
Jayesh,Male
Jaywant,Male
Jitendra,Male
Jyoti,Male
Kailash,Male
Kali,Male
Kalyan,Male
Kamala,Male
Kanta,Male
Kanti,Male
Karan,Male
Kavi,Male
Khan,Male
Khurshd,Male
Kiran,Male
Kishor,Male
Kshitij,Male
Kuldeep,Male
Lakshmi,Male
Lal,Male
Lochan,Male
Madhu,Male
Madhukar,Male
Madhur,Male
Mahendra,Male
Mahmud,Male
Mamun,Male
Manas,Male
Mandeep,Male
Mani,Male
Manish,Male
Manjeet,Male
Manu,Male
Maqsud,Male
Maruf,Male
Mayur,Male
Mitra,Male
Mitul,Male
Mohandas,Male
Muhammad,Male
Mukul,Male
Murad,Male
Murali,Male
Murugan,Male
Nadim,Male
Nagendra,Male
Nanda,Male
Narayana,Male
Narendra,Male
Nasim,Male
Navdeep,Male
Navin,Male
Navneet,Male
Nikhil,Male
Nilam,Male
Ninad,Male
Niraj,Male
Nirav,Male
Nirmal,Male
Nishant,Male
Nishat,Male
Nitin,Male
Nitya,Male
Nur,Male
Padma,Male
Pallav,Male
Parminder,Male
Partha,Male
Prabhat,Male
Prabhu,Male
Prabodh,Male
Pradip,Male
Prakash,Male
Pran,Male
Pranay,Male
Prasad,Male
Prasanna,Male
Prasenjit,Male
Pratap,Male
Pratik,Male
Pravin,Male
Prem,Male
Punit,Male
Qasim,Male
Radha,Male
Rafiq,Male
Raghu,Male
Rahul,Male
Raj,Male
Raja,Male
Rajani,Male
Rajendra,Male
Rajesh,Male
Rajib,Male
Rajnish,Male
Rakesh,Male
Rama,Male
Ramachandra,Male
Rana,Male
Ranjit,Male
Rashmi,Male
Ratna,Male
Ravi,Male
Ravindra,Male
Rohan,Male
Rohit,Male
Roshan,Male
Rupinder,Male
Sachin,Male
Samir,Male
Sandip,Male
Sanjit,Male
Sanjiv,Male
Saral,Male
Sardar,Male
Sarvesh,Male
Shahid,Male
Shahjahan,Male
Shahnaz,Male
Shahzad,Male
Shakti,Male
Shandar,Male
Shantanu,Male
Sharif,Male
Sharma,Male
Shashi,Male
Shekar,Male
Sher,Male
Shiva,Male
Shresth,Male
Shrinivas,Male
Shrivatsa,Male
Shyama,Male
Shyamal,Male
Siddhartha,Male
Singh,Male
Sonam,Male
Subhash,Male
Subrahmanya,Male
Sudarshan,Male
Sudhir,Male
Suahil,Male
Sujay,Male
Sukhbir,Male
Sukhdeep,Male
Sultan,Male
Suman,Male
Sumantra,Male
Sumit,Male
Sunil,Male
Suraj,Male
Surendra,Male
Surya,Male
Sushila,Male
Swapan,Male
Swapnil,Male
Swarna,Male
Tamanna,Male
Tushar,Male
Uttara,Male
Vasu,Male
Vijaya,Male
Vimal,Male
Vinay,Male
Vipin,Male
Vipul,Male
Vishal,Male
Vishnu,Male
Vivek,Male
Yash,Male
Yasir,Male
Zafar,Male
Zahid,Male
Zahir,Male
Zaman,Male
Zawar,Male
Aaradhya,Female
Ananya,Female
Avni,Female
Diya,Female
Ira,Female
Ishita,Female
Jiya,Female
Kiara,Female
Misha,Female
Myra,Female
Navya,Female
Nitya,Female
Pari,Female
Riya,Female
Saanvi,Female
Sanya,Female
Sara,Female
Shailee,Female
Shruti,Female
Siya,Female
Aisha,Female
Amara,Female
Fatima,Female
Hina,Female
Iqra,Female
Mariam,Female
Nazia,Female
Rabia,Female
Sana,Female
Zoya,Female
Amrit,Female
Medha,Female
Charanjeet,Female
Dilpreet,Female
Gurleen,Female
Harman,Female
Jaspreet,Female
Kirandeep,Female
Manpreet,Female
Simran,Female
Taran,Female
Anna,Female
Clara,Female
Deborah,Female
Elizabeth,Female
Grace,Female
Hannah,Female
Joanna,Female
Maria,Female
Rebecca,Female
Sophia,Female
Abha,Female
Aditi,Female
Aishwarya,Female
Akanksha,Female
Amala,Female
Amandeep,Female
Amardeep,Female
Amarjeet,Female
Anima,Female
Anisha,Female
Anjali,Female
Aparajita,Female
Aparna,Female
Apurva,Female
Aradhana,Female
Archana,Female
Aruna,Female
Arushi,Female
Arya,Female
Asha,Female
Avani,Female
Azra,Female
Bala,Female
Balwinder,Female
Bhavana,Female
Chanda,Female
Chandra,Female
Devi,Female
Devika,Female
Diksha,Female
Dipa,Female
Dipali,Female
Dipti,Female
Disha,Female
Divya,Female
Drishti,Female
Durga,Female
Esha,Female
Ezhil,Female
Fariha,Female
Gauri,Female
Gita,Female
Grishma,Female
Gul,Female
Gulbadan,Female
Gulrukh,Female
Gurdeep,Female
Gurmeet,Female
Hema,Female
Ila,Female
Inderpal,Female
Indira,Female
Indrani,Female
Indu,Female
Indumathi,Female
Isha,Female
Ishani,Female
Jaswinder,Female
Jaya,Female
Jayashri,Female
Jyoti,Female
Jyotsna,Female
Kajal,Female
Kala,Female
Kali,Female
Kalpana,Female
Kalyani,Female
Kamakshi,Female
Kamala,Female
Kamani,Female
Kanchana,Female
Kanta,Female
Kanti,Female
Karishma,Female
Kashi,Female
Kaur,Female
Kavita,Female
Khurshid,Female
Khushi,Female
Kiran,Female
Kirtida,Female
Laboni,Female
Lakshmi,Female
Lalita,Female
Lata,Female
Lavanya,Female
Lila,Female
Lilavati,Female
Lina,Female
Madhu,Female
Madhur,Female
Madhuri,Female
Mala,Female
Malati,Female
Malani,Female
Mandeep,Female
Manjeet,Female
Manju,Female
Manjula,Female
Manjusha,Female
Maya,Female
Mina,Female
Minali,Female
Mira,Female
Mitra,Female
Mohini,Female
Mridula,Female
Mukta,Female
Nalini,Female
Namrata,Female
Nandita,Female
Nasim,Female
Nasrin,Female
Navdeep,Female
Navneet,Female
Neha,Female
Nida,Female
Nikita,Female
Nila,Female
Nirupama,Female
Nisha,Female
Nishat,Female
Nitika,Female
Nur,Female
Padma,Female
Padmini,Female
Parvati,Female
Prachi,Female
Pratibha,Female
Pratima,Female
Pritha,Female
Priti,Female
Priya,Female
Priyanka,Female
Puja,Female
Purnima,Female
Pushpa,Female
Rachana,Female
Radha,Female
Rajani,Female
Rajkumari,Female
Rajni,Female
Rani,Female
Rashmi,Female
Rati,Female
Ratna,Female
Reshmi,Female
Reva,Female
Richa,Female
Rina,Female
Ritka,Female
Ritu,Female
Roshan,Female
Roshni,Female
Rupa,Female
Rupinder,Female
Sabeen,Female
Saira,Female
Sakshi,Female
Sandhya,Female
Sanjana,Female
Saraswati,Female
Sarita,Female
Savitri,Female
Shabnam,Female
Shahnaz,Female
Shailaja,Female
Shakti,Female
Shakuntala,Female
Shanta,Female
Shanti,Female
Sharmila,Female
Shashi,Female
Shikha,Female
Shila,Female
Shivali,Female
Shobha,Female
Shreya,Female
Shweta,Female
Shyama,Female
Siddhi,Female
Sima,Female
Sita,Female
Sitara,Female
Sneha,Female
Sona,Female
Sonal,Female
Sonam,Female
Sukhdeep,Female
Sulabha,Female
Sultana,Female
Suman,Female
Sumati,Female
Sunita,Female
Suniti,Female
Sushila,Female
Swapna,Female
Swarna,Female
Tanu,Female
Tanvi,Female
Tara,Female
Tejal,Female
Thamarai,Female
Trishna,Female
Uma,Female
Upasana,Female
Urvi,Female
Uttara,Female
Vaishnavi,Female
Varsha,Female
Vasuda,Female
Vasudha,Female
Vasundhara,Female
Veda,Female
Vidya,Female
Vijaya,Female
Juveria,Female
Naureen,Female
Afnan,Female

